Start time,End time,High frequency (Hz),Low frequency (Hz),GOES,Flare,"Notes (corona loop brightening, etc.)",Other notes
2023-7-17/03:41,2023-7-17/03:44,20000000,1000000,T,T,Spot,
2023-7-17/03:44,2023-7-17/04:22,5000000,800000,T,T,Spot,
2023-7-17/04:25,2023-7-17/04:28,6000000,600000,F,,,
2023-7-17/04:31,2023-7-17/04:37,5000000,300000,T,T,Spot,
2023-7-17/05:47,2023-7-17/06:04,20000000,200000,F,,,
2023-7-17/06:39,2023-7-17/06:49,7000000,1000000,F,,,
2023-7-17/09:19,2023-7-17/09:49,7000000,200000,T,T,Spot,
2023-7-17/11:24,2023-7-17/11:42,20000000,200000,F,,,
2023-7-17/14:39,2023-7-17/15:16,20000000,1000000,F,,,
2023-7-17/18:46,2023-7-17/19:54,20000000,1100000,T,T,Spot,
2023-7-17/22:27,2023-7-17/22:53,7000000,900000,T,T,Spot,
2023-7-17/22:39,2023-7-17/23:44,5000000,60000,T,T,Spot,
2023-7-17/23:19,2023-7-17/23:46,20000000,1300000,T,T,Spot,
2023-7-18/18:37,2023-7-18/19:07,6000000,1500000,T,T,Spot,
2023-7-18/20:14,2023-7-18/21:35,20000000,60000,T,F,,
2023-7-19/04:11,2023-7-19/04:45,8000000,1800000,T,F,,
2023-7-19/09:44,2023-7-19/10:13,4000000,1800000,T,F,,
2023-7-19/17:09,2023-7-19/19:30,20000000,40000,T,T,Loop & Spot,
2023-7-19/21:47,2023-7-19/21:53,13000000,300000,T,,The solar image is not shown,
2023-7-19/22:51,2023-7-20/01:08,5000000,60000,T,,The solar image is not shown,
2023-7-20/06:20,2023-7-20/06:47,5000000,100000,T,F,,
2023-7-21/00:32,2023-7-21/00:57,20000000,170000,T,T,Loop,
2023-7-21/05:34,2023-7-21/05:53,13000000,200000,T,F,,
2023-7-21/21:18,2023-7-21/21:28,5000000,300000,T,T,Loop,
2023-7-22/03:36,2023-7-22/04:27,1500000,150000,T,T,Loop & Spot,
2023-7-22/04:27,2023-7-22/04:55,20000000,150000,T,T,Spot,
2023-7-22/13:32,2023-7-22/13:55,5000000,160000,T,F,,
